employee_id,first_name,last_name,gender,aadhaar_id,pan_id,state,city,region,hiredate,department,job_title,education_level,salary,performance_rating,overtime,company_name,birthdate,termdate
00-97219599,Adya,Tella,Female,965780913431,LCQWL6907J,Maharashtra,Mumbai,West,2016-10-05,Operations,Inventory Specialist,High School,104508,Good,Yes,ICICI Bank,1977-06-18,2017-07-19
00-60310319,Yashica,Cherian,Male,969222196937,XDLGG0896F,Telangana,Warangal,South,2019-11-13,Operations,Inventory Specialist,High School,90259,Needs Improvement,Yes,TCS,1998-04-20,2020-05-11
00-69287967,Chanchal,Tripathi,Male,747436713695,OZHZR2567B,Tamil Nadu,Coimbatore,South,2024-08-10,Sales,Business Development Executive,PhD,103890,Needs Improvement,Yes,BYJU'S,1962-09-02,2025-02-06
00-76669607,Michael,Prakash,Male,495339421047,AJDXI4278L,Maharashtra,Mumbai,West,2023-10-05,Customer Service,Help Desk Technician,Bachelor,101998,Satisfactory,No,Flipkart,1991-10-08,2024-04-02
00-77349752,Aadi,Naik,Female,574517123685,CKGDJ7236L,Tamil Nadu,Chennai,South,2024-06-27,Marketing,Content Creator,High School,81729,Good,No,TCS,1977-03-01,2024-12-24
00-41383044,Isaac,Patil,Male,417461200471,CXDLR7947E,Maharashtra,Mumbai,West,2019-11-16,Marketing,Content Creator,Bachelor,107634,Good,No,L&T,1998-10-29,2020-05-14
00-97902129,Damyanti,Khatri,Female,740537735158,XQBHZ9802U,Gujarat,Surat,West,2016-01-22,Customer Service,Support Specialist,High School,120667,Good,Yes,BYJU'S,1980-08-31,2018-01-03
00-12866549,Farhan,Chada,Male,429318393352,UPHZZ5718E,Karnataka,Bengaluru,South,2016-09-24,Sales,Sales Representative,Bachelor,112627,Satisfactory,No,Infosys,1975-11-19,2020-03-06
00-58082464,Ekapad,Walia,Female,602402681177,UNCNY0785O,Telangana,Nizamabad,South,2023-10-06,Operations,Operations Analyst,Master,95283,Good,Yes,HCL Technologies,1978-06-05,2024-04-03
00-14180968,Kabir,Soman,Male,761771159212,HQOIZ5460W,Karnataka,Bengaluru,South,2016-12-11,Sales,Business Development Executive,PhD,117852,Good,No,TCS,1989-02-02,2018-01-04
00-97874085,Noah,Lanka,Male,773657661565,RJDXB8007Z,Tamil Nadu,Madurai,South,2022-07-12,IT,Software Engineer,Master,88448,Good,Yes,Wipro,1972-04-18,2023-10-29
00-84674816,Pallavi,Kakar,Female,265604945198,FRFCV3758R,Delhi,New Delhi,North,2016-12-05,Sales,Sales Representative,Bachelor,98893,Satisfactory,Yes,Ola Cabs,1990-01-19,2018-11-02
00-93446356,Sai,Muni,Male,502445502296,BTZCN3413K,Maharashtra,Mumbai,West,2021-05-26,Operations,Logistics Coordinator,Bachelor,63279,Good,Yes,Ola Cabs,1996-04-24,2024-11-03
00-86181117,Kashvi,Sarma,Male,329014767976,HTCLH6460M,Uttar Pradesh,Noida,North,2020-11-24,Marketing,Digital Marketing Associate,Bachelor,70954,Satisfactory,Yes,BYJU'S,1976-08-26,2021-05-23
00-17352710,Siya,Dara,Female,424451076226,NFORJ3744C,West Bengal,Asansol,East,2015-04-01,Customer Service,Support Specialist,High School,98040,Satisfactory,Yes,Paytm,1990-11-02,2024-03-19
00-52018286,Devansh,Nigam,Male,741605297516,VGPNK3331Q,Uttar Pradesh,Kanpur,North,2020-01-08,Sales,Sales Specialist,PhD,117686,Good,No,HCL Technologies,1971-02-14,2020-07-06
00-25304396,Victor,Kannan,Male,652312432921,EUMTT4956T,Gujarat,Vadodara,West,2020-01-03,Customer Service,Help Desk Technician,High School,84608,Good,No,ICICI Bank,1981-10-23,2023-08-09
00-94183695,Daniel,Karnik,Female,277449058147,LBVBW8654R,Delhi,Dwarka,North,2018-01-25,Customer Service,Customer Service Manager,PhD,144343,Good,No,Ola Cabs,1976-06-25,2022-02-16
00-15505975,Azad,Narayanan,Male,697820715182,BSZNP3937V,Uttar Pradesh,Kanpur,North,2019-01-26,Marketing,Digital Marketing Associate,Bachelor,91490,Needs Improvement,No,BYJU'S,1977-04-06,2019-07-25
00-17028380,Wazir,Mallick,Male,251864492519,RXIRR1705U,Maharashtra,Pune,West,2023-09-01,Operations,Inventory Specialist,High School,100885,Needs Improvement,No,Ola Cabs,2003-12-16,2024-02-28
00-54087376,Tanish,Zacharia,Male,268505423573,FDCVC7880K,Maharashtra,Mumbai,West,2023-02-18,Customer Service,Support Executive,High School,130797,Excellent,No,Ola Cabs,1973-10-08,2023-08-17
00-92950779,Urvashi,Kibe,Male,322927065379,HTLNI8483S,Maharashtra,Mumbai,West,2017-10-13,Sales,Business Development Executive,PhD,106597,Good,Yes,Tech Mahindra,1969-02-18,2020-10-06
00-71965637,Niharika,Gupta,Male,986239240758,YSNDC1458C,Karnataka,Mangaluru,South,2022-02-04,Operations,Inventory Specialist,High School,106913,Good,No,HDFC Bank,1996-11-18,2022-08-03
00-70549373,Raagini,Pandya,Male,706853615305,YVQUD2861W,Karnataka,Bengaluru,South,2023-06-04,IT,System Administrator,Master,57934,Good,No,Tech Mahindra,1986-11-16,2023-12-01
00-70210270,Unni,Bhagat,Male,143289861434,DGQQB8456S,Karnataka,Bengaluru,South,2021-09-03,Sales,Business Development Executive,Master,63147,Satisfactory,No,HDFC Bank,1999-09-20,2022-03-02
00-29270557,Guneet,Bhat,Female,639621851888,UNAWB3373C,West Bengal,Asansol,East,2017-05-27,Marketing,Digital Marketing Associate,Bachelor,52607,Satisfactory,Yes,ICICI Bank,1997-11-17,2023-01-18
00-42363373,Harinakshi,Chopra,Male,620585277221,SYAFU8333R,Karnataka,Bengaluru,South,2022-04-01,Operations,Operations Analyst,Master,67817,Good,No,Tech Mahindra,1972-04-28,2022-09-28
00-43999198,Ranveer,Yadav,Male,550541566765,ZMMYN8706F,Karnataka,Mangaluru,South,2015-06-13,Customer Service,Help Desk Technician,High School,80024,Good,Yes,Flipkart,2004-10-14,2016-08-31
00-49428661,Pahal,Goswami,Male,644796275705,PLQUB6457F,Delhi,Rohini,North,2018-04-12,Marketing,Content Creator,High School,65810,Needs Improvement,No,Infosys,1993-06-06,2018-10-09
00-29163535,Zaid,Borra,Male,121355690927,YJTON3621X,Maharashtra,Mumbai,West,2023-06-11,Operations,Inventory Specialist,High School,116856,Good,No,Wipro,1999-08-13,2023-12-08
00-76980546,Guneet,Bedi,Female,547394731217,ESZVZ9675J,West Bengal,Kolkata,East,2020-08-26,Customer Service,Support Specialist,High School,71713,Needs Improvement,No,Reliance,1970-08-08,2021-02-22
00-31139996,Alexander,Chander,Female,683132370589,JUOPC3975Y,Maharashtra,Mumbai,West,2022-12-04,Marketing,Content Creator,High School,79241,Good,No,L&T,1977-04-11,2023-10-03
00-87161840,Warjas,Ganesan,Female,277852892268,XBDDE3739J,Uttar Pradesh,Lucknow,North,2016-05-28,Sales,Sales Specialist,Bachelor,94524,Satisfactory,Yes,Paytm,2004-01-14,2016-11-24
00-20584397,Vasana,Kala,Female,349818299229,SPVOV0065U,West Bengal,Kolkata,East,2017-11-11,Sales,Sales Representative,Bachelor,89121,Excellent,Yes,HDFC Bank,1996-05-10,2018-05-10
00-86790955,Daniel,Gala,Male,884473647102,LMFPI7789E,Maharashtra,Pune,West,2019-05-18,Operations,Inventory Specialist,Bachelor,64990,Good,Yes,Ola Cabs,1975-05-30,2023-03-28
00-59733063,Madhavi,Lanka,Male,637147321046,WKZXV9711Q,Maharashtra,Mumbai,West,2020-12-04,Customer Service,Customer Service Manager,Master,66484,Good,No,Tech Mahindra,1987-11-06,2024-03-06
00-76942394,Suhani,Mangal,Male,116873395004,MWRMN8487Y,West Bengal,Howrah,East,2023-06-03,IT,IT Support Specialist,High School,128332,Satisfactory,No,L&T,1966-09-20,2024-06-04
00-59115280,Vidhi,Dubey,Female,935841687849,RDZKU3971Q,Telangana,Nizamabad,South,2015-03-11,Operations,Operations Manager,Master,66380,Good,Yes,L&T,1968-06-05,2020-08-08
00-77119320,Teerth,Bhardwaj,Male,357872982595,EZTHI8572A,Telangana,Hyderabad,South,2015-07-30,Marketing,SEO Specialist,High School,60417,Good,No,ICICI Bank,1974-09-10,2016-01-26
00-54458225,Darsh,Murthy,Female,509749930972,NSUJV2571O,West Bengal,Kolkata,East,2022-01-21,IT,IT Support Specialist,High School,112394,Satisfactory,Yes,ICICI Bank,1993-06-21,2022-07-20
00-66207740,Vansha,Thakkar,Male,789702838578,JYLNO6868I,Maharashtra,Mumbai,West,2017-12-01,Operations,Inventory Specialist,Bachelor,89020,Needs Improvement,No,BYJU'S,1999-03-11,2024-02-05
00-74985553,Nakul,Bhandari,Female,584344375758,YUHDR3989Z,Karnataka,Mangaluru,South,2017-12-16,Operations,Logistics Coordinator,Bachelor,85984,Good,No,Wipro,2004-08-25,2020-08-20
00-48983895,Faris,Grewal,Male,674733848421,QPGRN6047D,Maharashtra,Pune,West,2015-01-25,Operations,Inventory Specialist,High School,68569,Excellent,No,HCL Technologies,1979-09-17,2021-10-02
00-28450513,Ekansh,Keer,Female,777345401938,TWAXK8908Z,Gujarat,Surat,West,2015-05-27,HR,Recruiter,High School,75389,Good,No,Tech Mahindra,1990-05-01,2018-11-13
00-35006323,Yatin,Baral,Female,104991547887,XDNHV3767A,Delhi,New Delhi,North,2024-08-14,Customer Service,Support Specialist,High School,93116,Satisfactory,No,Zomato,1994-02-23,2025-02-10
00-55246430,Oni,Virk,Male,396685161227,IGGGT9370U,Karnataka,Bengaluru,South,2023-04-26,Sales,Sales Representative,Bachelor,90337,Good,Yes,ICICI Bank,1989-08-09,2023-10-23
00-41715995,Advika,Jayaraman,Male,842684145933,YMLZJ7978G,Maharashtra,Mumbai,West,2016-09-01,Customer Service,Support Specialist,High School,72912,Satisfactory,Yes,Ola Cabs,1972-02-06,2017-02-28
00-43214247,Dipta,Khare,Female,978519108839,NEWLR7484B,Karnataka,Bengaluru,South,2022-04-07,Operations,Logistics Coordinator,Bachelor,63642,Good,Yes,Tech Mahindra,1978-12-13,2022-10-04
00-27709269,Karan,Mital,Male,187406403910,LSOBX9421E,Karnataka,Mangaluru,South,2020-06-15,Sales,Business Development Executive,Master,120944,Satisfactory,No,Ola Cabs,1981-06-16,2022-10-09
00-96104027,Elijah,Andra,Male,667661825128,KDZVT9474M,Telangana,Hyderabad,South,2024-06-16,Operations,Operations Analyst,Bachelor,127056,Satisfactory,No,Paytm,1986-12-07,2024-12-13
00-40824989,Harish,Borah,Female,343106903311,PLRWG0457Y,Telangana,Nizamabad,South,2017-07-15,Marketing,Digital Marketing Associate,Bachelor,100213,Good,No,Infosys,1998-10-21,2018-01-11
00-28808678,Yashawini,Lanka,Female,495995342836,HBYWX6449U,Gujarat,Ahmedabad,West,2020-02-18,IT,Software Engineer,Bachelor,95413,Good,No,HCL Technologies,1993-08-09,2022-03-21
00-61157708,Ikshita,Biswas,Male,762462873342,UXOZO1226O,Tamil Nadu,Coimbatore,South,2023-11-17,IT,Software Engineer,Bachelor,111208,Good,No,Paytm,1982-04-14,2024-05-15
00-59805178,Kala,Mane,Male,146990139837,FXHXF1777H,Maharashtra,Pune,West,2016-02-27,Operations,Logistics Coordinator,Bachelor,91378,Excellent,No,Zomato,1966-10-14,2016-08-25
00-91121400,Chasmum,Wadhwa,Female,485467854458,WMUST3230H,Telangana,Hyderabad,South,2022-01-03,IT,System Administrator,Master,115483,Good,No,Zomato,2001-01-01,2022-07-02
00-29585415,Chandani,Chawla,Male,523536937854,TMSTL7315F,West Bengal,Kolkata,East,2015-12-08,Operations,Inventory Specialist,High School,114184,Good,No,Flipkart,2004-08-02,2019-05-16
00-96142207,Krish,Lalla,Male,110062312038,LBQYX6054A,Delhi,Rohini,North,2024-02-12,Customer Service,Help Desk Technician,Bachelor,140832,Satisfactory,Yes,Flipkart,1998-11-20,2024-08-10
00-46875077,Hredhaan,Dugal,Male,186211823398,GJUCY4262C,West Bengal,Kolkata,East,2020-04-09,Operations,Logistics Coordinator,Bachelor,110029,Good,No,HCL Technologies,1979-08-22,2020-12-17
00-97227356,Shivansh,Oza,Female,766870021765,OWCNB2884B,Tamil Nadu,Chennai,South,2022-03-16,Marketing,Content Creator,Bachelor,65535,Needs Improvement,No,TCS,1981-07-14,2022-09-12
00-47631028,Aishani,Tiwari,Male,350392614293,OWROJ7760X,Tamil Nadu,Chennai,South,2023-06-27,IT,IT Support Specialist,Bachelor,63265,Satisfactory,Yes,ICICI Bank,1988-07-31,2023-12-24
00-17207013,Charan,Chanda,Male,259996504773,JYLRR0677C,Tamil Nadu,Coimbatore,South,2016-08-19,Operations,Operations Analyst,Bachelor,92376,Good,No,Reliance,2002-03-02,2017-10-12
00-30699187,Aradhana,Basu,Male,755110475412,CLONC0557M,Maharashtra,Nagpur,West,2018-01-02,Operations,Inventory Specialist,High School,78418,Satisfactory,No,Infosys,1989-09-30,2019-01-20
00-49171088,Kalpit,Lala,Male,939826224447,DEHHU3974T,Maharashtra,Pune,West,2019-02-28,IT,IT Support Specialist,Bachelor,74795,Satisfactory,No,HDFC Bank,1969-09-30,2024-06-30
00-71453148,Riya,Sane,Female,165965756924,IYFIZ9264S,Maharashtra,Nagpur,West,2016-07-23,Customer Service,Support Specialist,Bachelor,94153,Needs Improvement,Yes,Ola Cabs,2000-10-09,2024-04-24
00-42537638,Isaac,Borra,Male,751939828073,LHSVU4462V,Telangana,Warangal,South,2018-12-10,Sales,Sales Representative,Bachelor,100251,Satisfactory,No,Wipro,2000-07-25,2019-06-08
00-66791272,Manthan,Banik,Male,897968868058,PXCGR1656U,Karnataka,Bengaluru,South,2023-10-31,Customer Service,Support Executive,High School,66957,Satisfactory,No,L&T,1988-08-08,2024-11-03
00-54506155,Manbir,Sani,Male,201438889937,JMRRD9429C,Tamil Nadu,Coimbatore,South,2024-02-16,Sales,Sales Representative,Bachelor,131429,Satisfactory,No,TCS,1984-09-09,2024-08-14
00-29015320,Darika,Patla,Female,838757177514,BSAIC8975R,Gujarat,Surat,West,2018-11-24,Sales,Sales Representative,Bachelor,101110,Good,No,Wipro,1975-09-03,2019-05-23
00-54424679,Balveer,Parmar,Female,462266093796,KSFTV0181K,Maharashtra,Nagpur,West,2020-03-17,IT,System Administrator,Master,126824,Satisfactory,No,HDFC Bank,1972-09-17,2022-11-09
00-71411378,Zaid,Chauhan,Male,959696915579,ERUXP6321L,Tamil Nadu,Madurai,South,2016-05-09,Sales,Sales Specialist,Bachelor,136260,Satisfactory,Yes,Zomato,1982-11-23,2023-05-10
00-28972822,Niharika,Dubey,Female,396627828274,DILBJ0189Q,West Bengal,Howrah,East,2020-12-03,Operations,Operations Analyst,Bachelor,112670,Excellent,Yes,HCL Technologies,1976-09-13,2022-10-16
00-76433728,Warjas,Gaba,Female,777219034043,NELTT5117L,Maharashtra,Nagpur,West,2019-12-22,Finance,Financial Analyst,Bachelor,128146,Satisfactory,No,Flipkart,1967-01-05,2020-06-19
00-15584869,Peter,Sachar,Female,936134074517,WDVFT6864T,Maharashtra,Nagpur,West,2022-01-10,Customer Service,Help Desk Technician,High School,123250,Satisfactory,No,Wipro,1968-05-20,2022-07-09
00-37732020,Gaurangi,Sabharwal,Male,684982544948,ZRCZU9981E,Karnataka,Mangaluru,South,2023-10-20,Operations,Operations Analyst,Master,61666,Satisfactory,No,HDFC Bank,1998-11-25,2024-06-10
00-29628462,Yuvraj,Loke,Female,772946671168,TSWLM5880O,Maharashtra,Nagpur,West,2022-02-27,Sales,Business Development Executive,Bachelor,88989,Satisfactory,No,HCL Technologies,1968-10-18,2022-08-26
00-99139874,Hritik,Raja,Male,963637454589,DWUXT0680F,Uttar Pradesh,Kanpur,North,2022-11-14,Marketing,Content Creator,Bachelor,67288,Good,No,Tech Mahindra,1999-05-31,2023-05-13
00-71272827,Upma,Kapadia,Female,424241541520,KHSGR7041H,West Bengal,Howrah,East,2015-03-14,Customer Service,Support Specialist,High School,112302,Excellent,No,Flipkart,1990-07-20,2019-07-28
00-69735865,Triveni,Palla,Male,262713611155,WDUTD9150U,Telangana,Nizamabad,South,2015-04-22,Sales,Business Development Executive,Bachelor,112549,Good,No,Wipro,1977-01-29,2018-11-22
00-69069144,Vedant,Kapoor,Male,369731121965,ZIDHC5667W,Gujarat,Ahmedabad,West,2018-01-09,Sales,Sales Representative,Bachelor,89869,Satisfactory,Yes,Infosys,1996-06-30,2022-09-30
00-98369672,Reyansh,Rastogi,Female,998364037613,MPNZZ9185L,West Bengal,Howrah,East,2023-04-30,Finance,Accounts Executive,Bachelor,81384,Needs Improvement,No,Flipkart,1986-03-02,2023-11-21
00-33188838,Ekaraj,Mallick,Female,191043006848,TLKQN1009Z,Maharashtra,Pune,West,2022-05-08,Sales,Sales Representative,Bachelor,62549,Satisfactory,No,Wipro,1996-12-27,2022-11-04
00-81993070,Yashodhara,Ratta,Female,563031617990,ITTDS7195Z,Gujarat,Surat,West,2018-09-05,Customer Service,Support Specialist,High School,61856,Good,No,Paytm,1999-08-12,2019-03-04
00-44795538,Garima,Bala,Male,510564814917,LJMOJ2157H,Delhi,Rohini,North,2017-02-11,Operations,Inventory Specialist,High School,75185,Good,No,Zomato,1986-01-18,2020-07-23
00-78293320,Advika,Gokhale,Female,407562208635,GXIVO1602Q,West Bengal,Kolkata,East,2015-07-31,Operations,Inventory Specialist,High School,54594,Good,Yes,Infosys,1985-04-13,2022-03-31
00-63811222,Alka,Barad,Female,545187053494,TGJZZ7757E,Gujarat,Vadodara,West,2016-02-09,IT,Software Engineer,Bachelor,118569,Excellent,No,Infosys,1998-11-18,2022-03-26
00-65034115,Radha,Pai,Female,150641383670,ZDHBG8484X,Karnataka,Mysuru,South,2015-09-23,Operations,Logistics Coordinator,Bachelor,101210,Good,Yes,TCS,1968-03-31,2022-10-25
00-87949714,Dipta,Sarin,Male,719906234456,STIHB2751F,Maharashtra,Pune,West,2016-08-09,Operations,Logistics Coordinator,Bachelor,82793,Satisfactory,Yes,Tech Mahindra,1971-11-17,2018-07-14
00-72552858,Yasti,D’Alia,Female,953747411249,BVICG3562F,Maharashtra,Pune,West,2018-05-21,IT,System Administrator,Master,73944,Satisfactory,No,Infosys,2002-12-27,2018-11-17
00-64276605,Ranveer,Kumar,Male,271210032365,RYCPX0916Z,Tamil Nadu,Coimbatore,South,2023-01-17,Operations,Logistics Coordinator,Bachelor,97520,Satisfactory,Yes,Wipro,1989-02-27,2023-07-16
00-22345163,Rajata,Agarwal,Female,207029667066,EFEHW0622N,West Bengal,Asansol,East,2023-07-09,Customer Service,Support Executive,High School,98102,Good,No,Flipkart,2004-03-12,2024-06-01
00-74294443,Ronith,Patla,Female,726383806578,UIOIH0508I,Gujarat,Ahmedabad,West,2016-06-06,Operations,Logistics Coordinator,Bachelor,94016,Needs Improvement,No,Infosys,1993-07-27,2019-11-26
00-73308406,Ganga,Murthy,Male,313348039652,EPUSX0795S,Maharashtra,Mumbai,West,2020-08-30,Finance,Financial Analyst,Master,83545,Satisfactory,No,HDFC Bank,1992-12-02,2021-02-26
00-76065552,Jeet,Mital,Female,801039308705,XFDSX8305E,Tamil Nadu,Coimbatore,South,2020-07-04,Marketing,Content Creator,High School,81438,Good,Yes,Ola Cabs,1968-06-18,2020-12-31
00-24887509,Nilima,Narain,Male,256915452267,QEZSY7251J,Tamil Nadu,Chennai,South,2023-05-27,Sales,Sales Representative,Bachelor,115300,Good,No,Zomato,1970-01-02,2023-11-23
00-49529438,Chakrika,Datta,Male,790295939172,ICJIQ9867K,Maharashtra,Pune,West,2016-03-11,IT,System Administrator,Master,52663,Good,Yes,Tech Mahindra,1993-07-19,2023-01-04
00-11529494,Ladli,Ghosh,Male,254100676267,WJJVU5724Z,Maharashtra,Pune,West,2017-08-13,Operations,Inventory Specialist,High School,90180,Good,No,Paytm,1979-01-19,2022-05-09
00-14484588,Charvi,Ravi,Female,511526218159,ZXSLQ6403G,Karnataka,Bengaluru,South,2017-07-19,Operations,Inventory Specialist,High School,101060,Satisfactory,Yes,L&T,1980-05-08,2018-04-11
